,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn-1,Unkn-1,Unkn-2,Unkn-2,Unkn-3,Unkn-3,Unkn-4,Unkn-4,Unkn-5,Unkn-5,Std-7,Std-7
A,Sample,37-F01,37-F01,37-C08,37-C08,31-B08,31-B08,31-D06,31-D06,31-E07,31-E07,,
A,Cq,30.6591162360256,30.2945347964911,29.8053963343096,29.4632245924214,29.1612107222017,29.3309861749003,32.7809456771617,32.5277266886565,27.1106549961717,27.2158177803706,16.4393425840801,16.1983094069462
A,copy number,95.5506784416025,124.359449019341,177.101909467718,226.795104316081,282.12283017452,249.542410961005,20.6145867887415,24.7549520162319,1242.00683776485,1151.09867038496,3000000,3000000
B,Content,Unkn-6,Unkn-6,Unkn-7,Unkn-7,Unkn-8,Unkn-8,Unkn-9,Unkn-9,Unkn-10,Unkn-10,Std-8,Std-8
B,Sample,37-B02,37-B02,38-B01,38-B01,31-C02,31-C02,31-D08,31-D08,31-E10,31-E10,,
B,Cq,28.4527247308743,28.4217707090622,26.7307700172698,27.0685040891101,31.9467815682604,33.0601787810321,30.6203635067127,30.6861381543523,28.1012583119623,27.6816876330593,19.549971413521,19.5624677651638
B,copy number,470.801264597088,481.453484677645,1634.45475803759,1280.42897078818,37.6725817224687,16.8469443515071,98.2649336064476,93.7025435424326,606.967902685044,822.000912107828,300000,300000
C,Content,Unkn-11,Unkn-11,Unkn-12,Unkn-12,Unkn-13,Unkn-13,Unkn-14,Unkn-14,Unkn-15,Unkn-15,Std-9,Std-9
C,Sample,37-D02,37-D02,38-D01,38-D01,31-C03,31-C03,31-D10,31-D10,31-E12,31-E12,,
C,Cq,31.1456004837366,30.4436982156846,30.0490444677436,30.3471557691698,31.5238756812264,31.6790634273248,20.5209820171602,20.2036763830836,24.794039348817,26.1050478928947,22.4399595445127,22.4028354561434
C,copy number,67.2237134991381,111.649094529576,148.504685480715,119.718329233978,51.1421410746826,45.7155803944226,145436.949531849,182927.719252316,6627.16933370921,2569.16535117841,30000,30000
D,Content,Unkn-16,Unkn-16,Unkn-17,Unkn-17,Unkn-18,Unkn-18,Unkn-19,Unkn-19,Unkn-20,Unkn-20,Std-10,Std-10
D,Sample,37-A04,37-A04,38-C02,38-C02,31-C11,31-C11,31-D12,31-D12,31-F01,31-F01,,
D,Cq,32.3340028604331,33.0786911261865,31.4781319374771,31.7201219008483,36.6244489373003,37.6865151984484,31.1232947493001,30.9273801238248,32.5673102628801,30.0742519950036,26.0243426759878,25.917762245982
D,copy number,28.4756430066656,16.6230215883977,52.8613476602113,44.3788103837571,1.2813518046959,0.594671789540587,68.3163173202312,78.7088571632882,24.0567242435373,145.823431230852,3000,3000
E,Content,Unkn-21,Unkn-21,Unkn-22,Unkn-22,Unkn-23,Unkn-23,Unkn-24,Unkn-24,Unkn-25,Unkn-25,Std-11,Std-11
E,Sample,37-C04,37-C04,38-G02,38-G02,31-D01,31-D01,31-E02,31-E02,31-F02,31-F02,,
E,Cq,34.9900219677638,34.4163089023093,29.6228043709114,30.2271131053606,29.6599542067756,28.8993652648568,29.0912531923936,28.9211233527895,35.6184306930716,37.6114314625897,29.4703262579495,29.4786726907493
E,copy number,4.17568772391218,6.3215140570117,202.087901204268,130.569876823155,196.733665864984,340.905182888991,296.755281495154,335.585793296019,2.65134055472879,0.627836728846732,300,300
F,Content,Unkn-26,Unkn-26,Unkn-27,Unkn-27,Unkn-28,Unkn-28,Unkn-29,Unkn-29,Unkn-30,Unkn-30,,
F,Sample,37-H04,37-H04,38-D08,38-D08,31-D02,31-D02,31-E03,31-E03,31-F07,31-F07,,
F,Cq,31.1590007948234,30.8560041594789,28.2764980897397,28.2748732042712,31.8852285011152,31.5202353642378,20.707483065828,20.7204048210922,29.7449046664066,29.3015735765023,,
F,copy number,66.5757450551658,82.8760587472306,534.757107192038,535.385530649546,39.3864992073575,51.2768845071512,127095.622922847,125914.096132071,185.017180943607,254.904331494373,,
G,Content,Unkn-31,Unkn-31,Unkn-32,Unkn-32,Unkn-33,Unkn-33,Unkn-34,Unkn-34,Unkn-35,Unkn-35,Std-13,Std-13
G,Sample,37-B05,37-B05,38-E08,38-E08,31-D04,31-D04,31-E04,31-E04,31-F11,31-F11,,
G,Cq,29.6896756314155,29.6186786872475,30.5116594119521,30.7056259080528,27.7429531975172,28.0400899648153,36.6009282199642,35.9036706866852,27.3578659227205,27.3608468617433,35.2906106397526,35.1695403410432
G,copy number,192.552380839394,202.691435498748,106.297156026275,92.3919256807388,786.394652062119,634.40552468344,1.30332199700825,2.15737882466266,1038.77744298841,1036.54167966727,3,3
H,Content,Unkn-36,Unkn-36,Unkn-37,Unkn-37,Unkn-38,Unkn-38,Unkn-39,Unkn-39,Unkn-40,Unkn-40,NTC,NTC
H,Sample,37-F06,37-F06,31-B07,31-B07,31-D05,31-D05,31-E06,31-E06,31-F12,31-F12,,
H,Cq,28.2669549615679,28.6802637261043,36.6313415537745,36.5615318789904,35.2258020479434,34.8166287503387,29.4147136316608,29.7962935549052,29.7900330984107,29.5528327234023,NaN,NaN
H,copy number,538.458490188375,399.402997584924,1.27498400879902,1.34096841923081,3.52139521644673,4.73322906943488,234.888444548476,178.270990927695,179.079505152283,212.571467298338,NaN,NaN
