,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,Hemato,Unkn-01,37-F01,30.6591162360256,95.5506784416025
,A02,FAM,Hemato,Unkn-01,37-F01,30.2945347964911,124.359449019341
,A03,FAM,Hemato,Unkn-02,37-C08,29.8053963343096,177.101909467718
,A04,FAM,Hemato,Unkn-02,37-C08,29.4632245924214,226.795104316081
,A05,FAM,Hemato,Unkn-03,31-B08,29.1612107222017,282.12283017452
,A06,FAM,Hemato,Unkn-03,31-B08,29.3309861749003,249.542410961005
,A07,FAM,Hemato,Unkn-04,31-D06,32.7809456771617,20.6145867887415
,A08,FAM,Hemato,Unkn-04,31-D06,32.5277266886565,24.7549520162319
,A09,FAM,Hemato,Unkn-05,31-E07,27.1106549961717,1242.00683776485
,A10,FAM,Hemato,Unkn-05,31-E07,27.2158177803706,1151.09867038496
,A11,FAM,Hemato,Std-07,,16.4393425840801,3000000
,A12,FAM,Hemato,Std-07,,16.1983094069462,3000000
,B01,FAM,Hemato,Unkn-06,37-B02,28.4527247308743,470.801264597088
,B02,FAM,Hemato,Unkn-06,37-B02,28.4217707090622,481.453484677645
,B03,FAM,Hemato,Unkn-07,38-B01,26.7307700172698,1634.45475803759
,B04,FAM,Hemato,Unkn-07,38-B01,27.0685040891101,1280.42897078818
,B05,FAM,Hemato,Unkn-08,31-C02,31.9467815682604,37.6725817224687
,B06,FAM,Hemato,Unkn-08,31-C02,33.0601787810321,16.8469443515071
,B07,FAM,Hemato,Unkn-09,31-D08,30.6203635067127,98.2649336064476
,B08,FAM,Hemato,Unkn-09,31-D08,30.6861381543523,93.7025435424326
,B09,FAM,Hemato,Unkn-10,31-E10,28.1012583119623,606.967902685044
,B10,FAM,Hemato,Unkn-10,31-E10,27.6816876330593,822.000912107828
,B11,FAM,Hemato,Std-08,,19.549971413521,300000
,B12,FAM,Hemato,Std-08,,19.5624677651638,300000
,C01,FAM,Hemato,Unkn-11,37-D02,31.1456004837366,67.2237134991381
,C02,FAM,Hemato,Unkn-11,37-D02,30.4436982156846,111.649094529576
,C03,FAM,Hemato,Unkn-12,38-D01,30.0490444677436,148.504685480715
,C04,FAM,Hemato,Unkn-12,38-D01,30.3471557691698,119.718329233978
,C05,FAM,Hemato,Unkn-13,31-C03,31.5238756812264,51.1421410746826
,C06,FAM,Hemato,Unkn-13,31-C03,31.6790634273248,45.7155803944226
,C07,FAM,Hemato,Unkn-14,31-D10,20.5209820171602,145436.949531849
,C08,FAM,Hemato,Unkn-14,31-D10,20.2036763830836,182927.719252316
,C09,FAM,Hemato,Unkn-15,31-E12,24.794039348817,6627.16933370921
,C10,FAM,Hemato,Unkn-15,31-E12,26.1050478928947,2569.16535117841
,C11,FAM,Hemato,Std-09,,22.4399595445127,30000
,C12,FAM,Hemato,Std-09,,22.4028354561434,30000
,D01,FAM,Hemato,Unkn-16,37-A04,32.3340028604331,28.4756430066656
,D02,FAM,Hemato,Unkn-16,37-A04,33.0786911261865,16.6230215883977
,D03,FAM,Hemato,Unkn-17,38-C02,31.4781319374771,52.8613476602113
,D04,FAM,Hemato,Unkn-17,38-C02,31.7201219008483,44.3788103837571
,D05,FAM,Hemato,Unkn-18,31-C11,36.6244489373003,1.2813518046959
,D06,FAM,Hemato,Unkn-18,31-C11,37.6865151984484,0.594671789540587
,D07,FAM,Hemato,Unkn-19,31-D12,31.1232947493001,68.3163173202312
,D08,FAM,Hemato,Unkn-19,31-D12,30.9273801238248,78.7088571632882
,D09,FAM,Hemato,Unkn-20,31-F01,32.5673102628801,24.0567242435373
,D10,FAM,Hemato,Unkn-20,31-F01,30.0742519950036,145.823431230852
,D11,FAM,Hemato,Std-10,,26.0243426759878,3000
,D12,FAM,Hemato,Std-10,,25.917762245982,3000
,E01,FAM,Hemato,Unkn-21,37-C04,34.9900219677638,4.17568772391218
,E02,FAM,Hemato,Unkn-21,37-C04,34.4163089023093,6.3215140570117
,E03,FAM,Hemato,Unkn-22,38-G02,29.6228043709114,202.087901204268
,E04,FAM,Hemato,Unkn-22,38-G02,30.2271131053606,130.569876823155
,E05,FAM,Hemato,Unkn-23,31-D01,29.6599542067756,196.733665864984
,E06,FAM,Hemato,Unkn-23,31-D01,28.8993652648568,340.905182888991
,E07,FAM,Hemato,Unkn-24,31-E02,29.0912531923936,296.755281495154
,E08,FAM,Hemato,Unkn-24,31-E02,28.9211233527895,335.585793296019
,E09,FAM,Hemato,Unkn-25,31-F02,35.6184306930716,2.65134055472879
,E10,FAM,Hemato,Unkn-25,31-F02,37.6114314625897,0.627836728846732
,E11,FAM,Hemato,Std-11,,29.4703262579495,300
,E12,FAM,Hemato,Std-11,,29.4786726907493,300
,F01,FAM,Hemato,Unkn-26,37-H04,31.1590007948234,66.5757450551658
,F02,FAM,Hemato,Unkn-26,37-H04,30.8560041594789,82.8760587472306
,F03,FAM,Hemato,Unkn-27,38-D08,28.2764980897397,534.757107192038
,F04,FAM,Hemato,Unkn-27,38-D08,28.2748732042712,535.385530649546
,F05,FAM,Hemato,Unkn-28,31-D02,31.8852285011152,39.3864992073575
,F06,FAM,Hemato,Unkn-28,31-D02,31.5202353642378,51.2768845071512
,F07,FAM,Hemato,Unkn-29,31-E03,20.707483065828,127095.622922847
,F08,FAM,Hemato,Unkn-29,31-E03,20.7204048210922,125914.096132071
,F09,FAM,Hemato,Unkn-30,31-F07,29.7449046664066,185.017180943607
,F10,FAM,Hemato,Unkn-30,31-F07,29.3015735765023,254.904331494373
,G01,FAM,Hemato,Unkn-31,37-B05,29.6896756314155,192.552380839394
,G02,FAM,Hemato,Unkn-31,37-B05,29.6186786872475,202.691435498748
,G03,FAM,Hemato,Unkn-32,38-E08,30.5116594119521,106.297156026275
,G04,FAM,Hemato,Unkn-32,38-E08,30.7056259080528,92.3919256807388
,G05,FAM,Hemato,Unkn-33,31-D04,27.7429531975172,786.394652062119
,G06,FAM,Hemato,Unkn-33,31-D04,28.0400899648153,634.40552468344
,G07,FAM,Hemato,Unkn-34,31-E04,36.6009282199642,1.30332199700825
,G08,FAM,Hemato,Unkn-34,31-E04,35.9036706866852,2.15737882466266
,G09,FAM,Hemato,Unkn-35,31-F11,27.3578659227205,1038.77744298841
,G10,FAM,Hemato,Unkn-35,31-F11,27.3608468617433,1036.54167966727
,G11,FAM,Hemato,Std-13,,35.2906106397526,3
,G12,FAM,Hemato,Std-13,,35.1695403410432,3
,H01,FAM,Hemato,Unkn-36,37-F06,28.2669549615679,538.458490188375
,H02,FAM,Hemato,Unkn-36,37-F06,28.6802637261043,399.402997584924
,H03,FAM,Hemato,Unkn-37,31-B07,36.6313415537745,1.27498400879902
,H04,FAM,Hemato,Unkn-37,31-B07,36.5615318789904,1.34096841923081
,H05,FAM,Hemato,Unkn-38,31-D05,35.2258020479434,3.52139521644673
,H06,FAM,Hemato,Unkn-38,31-D05,34.8166287503387,4.73322906943488
,H07,FAM,Hemato,Unkn-39,31-E06,29.4147136316608,234.888444548476
,H08,FAM,Hemato,Unkn-39,31-E06,29.7962935549052,178.270990927695
,H09,FAM,Hemato,Unkn-40,31-F12,29.7900330984107,179.079505152283
,H10,FAM,Hemato,Unkn-40,31-F12,29.5528327234023,212.571467298338
,H11,FAM,Hemato,NTC,,NaN,NaN
,H12,FAM,Hemato,NTC,,NaN,NaN
